name,operator,city,state,country,latitude,longitude,type,deployment_model,model_share_pct,estimated_mw,investment_est_usd_m,hub,dominant_tech,maturity_level,tech_category,status_proyecto
KIO MEX2 - Cuajimalpa,KIO Networks,Cuajimalpa de Morelos,Ciudad de México,Mexico,19.358,-99.283,colocation,Colocation,84.0,5,40.0,mexico_city,Traditional Air Cooling,Hold,Hardware,Operativo
KIO MEX3 - Tultitlan,KIO Networks,Tultitlán,Estado de México,Mexico,19.647,-99.171,colocation,Colocation,84.0,7,56.0,mexico_city,Traditional Air Cooling,Hold,Hardware,Operativo
KIO MEX1 - Huixquilucan,KIO Networks,Huixquilucan,Estado de México,Mexico,19.3608,-99.2883,colocation,Colocation,84.0,3,24.0,mexico_city,Traditional Air Cooling,Hold,Hardware,Operativo
MTP Santa Fe,MTP,Cuajimalpa de Morelos,Ciudad de México,Mexico,19.354,-99.288,colocation,Colocation,84.0,4,32.0,mexico_city,Traditional Air Cooling,Hold,Hardware,Operativo
Cirion Mexico City,Cirion Technologies,Mexico City,Ciudad de México,Mexico,19.4345,-99.1972,colocation,Colocation,84.0,3,24.0,mexico_city,Traditional Air Cooling,Hold,Hardware,Operativo
TELMEX Triara CDMX,TELMEX,Mexico City,Ciudad de México,Mexico,19.4785,-99.194,colocation,Colocation,84.0,8,64.0,mexico_city,Traditional Air Cooling,Hold,Hardware,Operativo
Scala SMEXTP01,Scala Data Centers,Mexico City,Ciudad de México,Mexico,19.429,-99.135,wholesale,Colocation,84.0,7,56.0,mexico_city,Liquid Cooling,Trial,Hardware,Operativo
IPXON Mexico City,IPXON Networks,Mexico City,Ciudad de México,Mexico,19.426,-99.144,colocation,Colocation,84.0,2,16.0,mexico_city,Traditional Air Cooling,Hold,Hardware,Operativo
Xertix Mexico City,Xertix,Mexico City,Ciudad de México,Mexico,19.432,-99.133,colocation,Colocation,84.0,2,16.0,mexico_city,Traditional Air Cooling,Hold,Hardware,Operativo
Marcatel Mexico City,Marcatel,Mexico City,Ciudad de México,Mexico,19.431,-99.14,colocation,Colocation,84.0,3,24.0,mexico_city,Traditional Air Cooling,Hold,Hardware,Operativo
Equinix MX1,Equinix,Querétaro,Querétaro,Mexico,20.5888,-100.3899,colocation,Colocation,84.0,4,40.0,queretaro,AI-Ready Racks,Adopt,Hardware,Operativo
Equinix MX2,Equinix,Mexico City,Ciudad de México,Mexico,19.41,-99.146,colocation,Colocation,84.0,8,64.0,mexico_city,Traditional Air Cooling,Hold,Hardware,En construcción
KIO QRO1,KIO Networks,Querétaro,Querétaro,Mexico,20.585,-100.392,colocation,Colocation,84.0,7,70.0,queretaro,AI-Ready Racks,Adopt,Hardware,Operativo
KIO QRO2,KIO Networks,Querétaro,Querétaro,Mexico,20.595,-100.381,colocation,Colocation,84.0,12,120.0,queretaro,AI-Ready Racks,Adopt,Hardware,Operativo
ODATA QR01,ODATA (Aligned Data Centers),Santa Rosa Jáuregui,Querétaro,Mexico,20.718,-100.401,hyperscale,Hyperscale,12.0,32,320.0,queretaro,AI-Ready Racks,Adopt,Hardware,Operativo
ODATA QR02,ODATA (Aligned Data Centers),Amexhe,Querétaro,Mexico,20.504,-100.253,hyperscale,Hyperscale,12.0,30,300.0,queretaro,AI-Ready Racks,Adopt,Hardware,Operativo
ODATA QR03,ODATA (Aligned Data Centers),El Marqués,Querétaro,Mexico,20.62,-100.27,hyperscale,Hyperscale,12.0,300,3000.0,queretaro,Liquid Cooling,Adopt,Hardware,En construcción
ODATA QR04,ODATA (Aligned Data Centers),San Miguel de Allende,Guanajuato,Mexico,20.914,-100.745,hyperscale,Hyperscale,12.0,50,500.0,queretaro,AI-Ready Racks,Adopt,Hardware,En construcción
CloudHQ QRO1,CloudHQ,Querétaro,Querétaro,Mexico,20.602,-100.362,hyperscale,Hyperscale,12.0,60,600.0,queretaro,AI-Ready Racks,Adopt,Hardware,Operativo
CloudHQ QRO2,CloudHQ,Querétaro,Querétaro,Mexico,20.605,-100.359,hyperscale,Hyperscale,12.0,48,480.0,queretaro,AI-Ready Racks,Adopt,Hardware,En construcción
CloudHQ QRO3,CloudHQ,Querétaro,Querétaro,Mexico,20.608,-100.356,hyperscale,Hyperscale,12.0,48,480.0,queretaro,AI-Ready Racks,Adopt,Hardware,En construcción
CloudHQ QRO4,CloudHQ,Querétaro,Querétaro,Mexico,20.61,-100.354,hyperscale,Hyperscale,12.0,60,600.0,queretaro,AI-Ready Racks,Adopt,Hardware,En construcción
CloudHQ QRO5,CloudHQ,Querétaro,Querétaro,Mexico,20.613,-100.351,hyperscale,Hyperscale,12.0,48,480.0,queretaro,AI-Ready Racks,Adopt,Hardware,En construcción
CloudHQ QRO6,CloudHQ,Querétaro,Querétaro,Mexico,20.616,-100.348,hyperscale,Hyperscale,12.0,48,480.0,queretaro,AI-Ready Racks,Adopt,Hardware,En construcción
Ascenty MEX3,Ascenty,Querétaro,Querétaro,Mexico,20.618,-100.345,wholesale,Colocation,84.0,21,210.0,queretaro,Liquid Cooling,Trial,Hardware,En construcción
TELMEX Triara Querétaro,TELMEX,Querétaro,Querétaro,Mexico,20.593,-100.394,colocation,Colocation,84.0,38,380.0,queretaro,AI-Ready Racks,Adopt,Hardware,Operativo
Marcatel Querétaro,Marcatel,Querétaro,Querétaro,Mexico,20.585,-100.387,colocation,Colocation,84.0,3,30.0,queretaro,AI-Ready Racks,Adopt,Hardware,Operativo
KIO NL1 - Monterrey,KIO Networks,San Pedro Garza García,Nuevo León,Mexico,25.657,-100.402,colocation,Colocation,84.0,5,35.0,monterrey,Hybrid Cooling,Trial,Sustainability,Operativo
Equinix MO1,Equinix,Apodaca,Nuevo León,Mexico,25.779,-100.188,colocation,Colocation,84.0,5,35.0,monterrey,Hybrid Cooling,Trial,Sustainability,Operativo
Equinix MO2,Equinix,Apodaca,Nuevo León,Mexico,25.781,-100.186,colocation,Colocation,84.0,6,42.0,monterrey,Hybrid Cooling,Trial,Sustainability,En construcción
TELMEX Triara Monterrey,TELMEX,Apodaca,Nuevo León,Mexico,25.785,-100.183,colocation,Colocation,84.0,8,56.0,monterrey,Hybrid Cooling,Trial,Sustainability,Operativo
Xertix Monterrey,Xertix,Monterrey,Nuevo León,Mexico,25.666,-100.309,colocation,Colocation,84.0,2,14.0,monterrey,Hybrid Cooling,Trial,Sustainability,Operativo
NH Solutions Monterrey 1,NH Solutions,Monterrey,Nuevo León,Mexico,25.66,-100.316,edge,Edge,4.0,1,7.0,monterrey,Edge Computing,Trial,Hardware,Operativo
NH Solutions Monterrey 2,NH Solutions,Monterrey,Nuevo León,Mexico,25.662,-100.314,edge,Edge,4.0,1,7.0,monterrey,Edge Computing,Trial,Hardware,Planeado
Marcatel Monterrey,Marcatel,Monterrey,Nuevo León,Mexico,25.674,-100.322,colocation,Colocation,84.0,3,21.0,monterrey,Hybrid Cooling,Trial,Sustainability,Operativo
Layer9 Monterrey,Layer 9 Data Centers,Monterrey,Nuevo León,Mexico,25.671,-100.318,colocation,Colocation,84.0,4,28.0,monterrey,Hybrid Cooling,Trial,Sustainability,Operativo
