timestamp,rack_id,status,power_usage_kw,pue_ratio,incident_type,resolution_time_min
2025-03-24 02:54:07,RACK-C05,Online,2.88,1.677,,0
2025-03-24 04:16:35,RACK-A03,Online,3.81,1.41,,0
2025-03-24 09:41:43,RACK-B06,Online,3.77,1.223,None,0
2025-03-24 17:29:48,RACK-D08,Online,5.46,1.666,None,0
2025-03-24 22:36:12,RACK-D11,Online,3.71,1.189,,0
2025-03-25 08:53:18,RACK-D19,Warning,2.9,1.378,,0
2025-03-25 10:50:57,RACK-D14,Online,2.79,1.232,,0
2025-03-25 18:19:22,RACK-C03,Online,6.15,1.219,Latency Spike,79
2025-03-25 18:24:30,RACK-A13,Warning,3.64,1.266,UPS Failure,35
2025-03-25 18:35:08,RACK-A15,Online,3.38,1.524,,0
2025-03-26 00:43:19,RACK-A04,Online,3.78,1.481,,0
2025-03-26 03:22:12,RACK-A20,Online,7.09,1.47,,0
2025-03-26 07:23:32,RACK-E02,Warning,3.39,1.345,UPS Failure,104
2025-03-26 08:31:25,RACK-C04,Warning,3.1,1.255,,0
2025-03-26 11:43:48,RACK-C06,Online,5.07,1.551,UPS Failure,97
2025-03-26 14:08:44,RACK-D10,Warning,7.83,1.66,Cooling Leak,36
2025-03-27 03:09:32,RACK-A06,Warning,3.66,1.287,,0
2025-03-27 09:20:05,RACK-C20,Online,7.58,1.394,Latency Spike,85
2025-03-27 17:57:05,RACK-E13,Warning,3.95,1.425,,0
2025-03-27 21:42:19,RACK-B01,Maintenance,5.53,1.385,,0
2025-03-27 21:43:00,RACK-D14,Online,3.84,1.41,,0
2025-03-28 05:06:07,RACK-C20,Online,7.17,1.336,Latency Spike,82
2025-03-28 10:07:09,RACK-D19,Online,6.86,1.584,Cooling Leak,102
2025-03-28 16:11:54,RACK-B03,Warning,2.64,1.555,,0
2025-03-28 19:11:57,RACK-D08,Warning,5.79,1.419,,0
2025-03-28 20:07:01,RACK-E05,Online,4.09,1.194,,0
2025-03-29 01:13:53,RACK-A17,Online,7.56,1.238,Cooling Leak,91
2025-03-29 04:53:25,RACK-D09,Online,5.35,1.259,None,0
2025-03-29 12:42:21,RACK-D04,Online,3.31,1.528,Latency Spike,113
2025-03-29 16:15:25,RACK-A12,Online,4.71,1.298,None,0
2025-03-29 21:04:21,RACK-E03,Online,3.96,1.286,,0
2025-03-30 00:05:40,RACK-A02,Maintenance,3.2,1.175,,0
2025-03-30 00:26:37,RACK-A04,Online,6.18,1.589,UPS Failure,74
2025-03-30 02:11:23,RACK-D18,Online,5.06,1.393,,0
2025-03-30 08:20:44,RACK-C12,Online,7.25,1.682,,0
2025-03-30 18:34:05,RACK-C03,Online,3.81,1.518,,0
2025-03-31 07:46:58,RACK-C19,Online,5.06,1.442,,0
2025-03-31 11:12:14,RACK-D15,Online,3.71,1.699,,0
2025-03-31 15:55:10,RACK-C04,Online,5.99,1.295,,0
2025-03-31 19:46:44,RACK-C15,Critical,7.61,1.565,UPS Failure,106
2025-03-31 23:39:42,RACK-B16,Online,5.34,1.255,,0
2025-04-01 00:34:18,RACK-E09,Online,6.27,1.614,Cooling Leak,44
2025-04-01 05:33:18,RACK-B12,Online,5.7,1.41,,0
2025-04-01 10:59:55,RACK-D02,Online,7.19,1.237,Unauthorized Access Attempt,25
2025-04-01 15:28:26,RACK-A18,Online,7.39,1.558,,0
2025-04-01 16:29:10,RACK-C12,Online,5.55,1.256,UPS Failure,63
2025-04-01 16:59:47,RACK-E02,Warning,5.2,1.63,,0
2025-04-02 02:36:56,RACK-A16,Online,4.79,1.478,,0
